NO2_count,NO2_mean,NO2_median,NO2_stdDev,month,year,zone,date,season
690,6.885915268677969,6.948753534896164,1.8531000327348095,1.0,2019.0,High_Himal,2019-01-01,Winter
558,7.393048729558966,7.317187721273916,2.2498706273556026,2.0,2019.0,High_Himal,2019-02-01,Winter
538,7.449793050699803,7.65889853714253,2.1181908209595717,3.0,2019.0,High_Himal,2019-03-01,Pre-monsoon
665,9.319908532751823,9.325477783993064,1.894034147060851,4.0,2019.0,High_Himal,2019-04-01,Pre-monsoon
684,9.672121857803331,9.478586838057813,2.0733543118037066,5.0,2019.0,High_Himal,2019-05-01,Pre-monsoon
683,9.071515567692355,9.004374246632581,2.846574014890669,6.0,2019.0,High_Himal,2019-06-01,Monsoon
628,10.553748871523332,10.67701668293433,3.3111563561356925,7.0,2019.0,High_Himal,2019-07-01,Monsoon
607,9.3414632097131,9.148640335903364,3.633471280754807,8.0,2019.0,High_Himal,2019-08-01,Monsoon
664,8.747633468516247,8.64398387788502,2.804739858472109,9.0,2019.0,High_Himal,2019-09-01,Monsoon
690,8.508593869246278,8.528244755093775,2.619294425965001,10.0,2019.0,High_Himal,2019-10-01,Post-monsoon
689,6.552648497090224,6.370288389061266,2.354485368344774,11.0,2019.0,High_Himal,2019-11-01,Post-monsoon
685,5.131583690157941,4.938260841422889,1.8961649633157676,12.0,2019.0,High_Himal,2019-12-01,Winter
631,6.086658144995633,6.358460871327401,2.3336914155694846,1.0,2020.0,High_Himal,2020-01-01,Winter
639,7.660699675872903,7.6595257889323145,1.98934484733906,2.0,2020.0,High_Himal,2020-02-01,Winter
575,9.079409395161642,9.138499814854274,2.1865017777292066,3.0,2020.0,High_Himal,2020-03-01,Pre-monsoon
647,8.329093946963642,8.259533204121505,1.9374662385973223,4.0,2020.0,High_Himal,2020-04-01,Pre-monsoon
683,8.7508881411828,8.83831272431241,2.0970306313412146,5.0,2020.0,High_Himal,2020-05-01,Pre-monsoon
674,10.506370194494458,10.542540339159416,3.0136800200053084,6.0,2020.0,High_Himal,2020-06-01,Monsoon
639,10.295048311982086,10.082313774502504,3.276669563654045,7.0,2020.0,High_Himal,2020-07-01,Monsoon
