O3_count,O3_mean,O3_median,O3_stdDev,month,year,zone,date,season
690,113.3906523607391,114.0438028808462,2.9307590954995,1.0,2019.0,High_Himal,2019-01-01,Winter
690,110.4138111764689,110.2614668672925,3.3646246330761,2.0,2019.0,High_Himal,2019-02-01,Winter
690,116.8910084196574,116.85966110318539,2.5062133823462,3.0,2019.0,High_Himal,2019-03-01,Pre-monsoon
690,118.1381292635315,118.15111860698201,0.7102524286723616,4.0,2019.0,High_Himal,2019-04-01,Pre-monsoon
690,118.761631387012,119.0298233733375,1.4778259927207,5.0,2019.0,High_Himal,2019-05-01,Pre-monsoon
690,120.91739671826771,120.9883780433122,0.8059269601805397,6.0,2019.0,High_Himal,2019-06-01,Monsoon
690,120.0372242120731,120.0949510359403,0.7295909840550524,7.0,2019.0,High_Himal,2019-07-01,Monsoon
690,118.4793347200817,118.4766699371036,0.468812267392721,8.0,2019.0,High_Himal,2019-08-01,Monsoon
690,114.9835514250344,114.88367365065861,0.8828819053761006,9.0,2019.0,High_Himal,2019-09-01,Monsoon
690,114.76532601077689,114.7302534704843,0.9000313482546175,10.0,2019.0,High_Himal,2019-10-01,Post-monsoon
690,108.39272368442269,108.13071657309429,1.5116530114406999,11.0,2019.0,High_Himal,2019-11-01,Post-monsoon
690,121.6117881550335,121.3741385060045,3.2625364629136,12.0,2019.0,High_Himal,2019-12-01,Winter
690,123.6602887960878,124.670583718264,2.9800681815533,1.0,2020.0,High_Himal,2020-01-01,Winter
690,130.04385756793448,130.2020448380456,1.2785814119113,2.0,2020.0,High_Himal,2020-02-01,Winter
690,127.58089098158621,127.5791168726991,1.0107075977045001,3.0,2020.0,High_Himal,2020-03-01,Pre-monsoon
690,131.50872631583522,131.5748654090866,0.9446410632747076,4.0,2020.0,High_Himal,2020-04-01,Pre-monsoon
690,124.06214862040139,124.2161833126287,1.1952856328900001,5.0,2020.0,High_Himal,2020-05-01,Pre-monsoon
690,116.775246323216,116.80786510799119,0.7614628527658727,6.0,2020.0,High_Himal,2020-06-01,Monsoon
690,115.3941957711383,115.42664815086779,0.6792586721766184,7.0,2020.0,High_Himal,2020-07-01,Monsoon
690,114.3053564341958,114.3245065623358,0.48091473476811997,8.0,2020.0,High_Himal,2020-08-01,Monsoon
690,114.10891435046571,114.11428034353011,0.6572610820148123,9.0,2020.0,High_Himal,2020-09-01,Monsoon
690,109.5478512684363,109.4527661427865,0.7974779369214599,10.0,2020.0,High_Himal,2020-10-01,Post-monsoon
690,115.4228347021998,115.4256450833226,0.5767353305246061,11.0,2020.0,High_Himal,2020-11-01,Post-monsoon
690,113.7773409400818,113.65848910565799,0.8457250291290898,12.0,2020.0,High_Himal,2020-12-01,Winter
690,110.25961032155331,110.73595430087519,1.5051911605705,1.0,2021.0,High_Himal,2021-01-01,Winter
690,123.998190542239,124.25193106750811,1.1786540205805,2.0,2021.0,High_Himal,2021-02-01,Winter
690,121.8383612501499,122.0792684992811,1.4467057887683,3.0,2021.0,High_Himal,2021-03-01,Pre-monsoon
690,125.9917188703459,126.61714035936919,2.2009983249815996,4.0,2021.0,High_Himal,2021-04-01,Pre-monsoon
690,121.2949811015073,121.1670960199145,1.258246854739,5.0,2021.0,High_Himal,2021-05-01,Pre-monsoon
690,119.4836044080613,119.4916418821464,0.8961990758831269,6.0,2021.0,High_Himal,2021-06-01,Monsoon
690,121.0454653340524,121.1388555102407,0.7130141565394297,7.0,2021.0,High_Himal,2021-07-01,Monsoon
690,118.6618873338913,118.5725278891743,0.7320444885598606,8.0,2021.0,High_Himal,2021-08-01,Monsoon
690,118.67138187949861,118.6973651377627,0.5855120479341488,9.0,2021.0,High_Himal,2021-09-01,Monsoon
690,114.54164659962241,114.52506561858151,0.679468008950036,10.0,2021.0,High_Himal,2021-10-01,Post-monsoon
690,113.8817906589654,113.9072503430398,0.6587974426044017,11.0,2021.0,High_Himal,2021-11-01,Post-monsoon
690,119.4784679347359,119.41019929679949,2.5068173525665,12.0,2021.0,High_Himal,2021-12-01,Winter
690,123.9351949818315,124.1359502953967,1.1265836221376,1.0,2022.0,High_Himal,2022-01-01,Winter
690,129.9928464732363,130.0507139326301,1.0412198395428,2.0,2022.0,High_Himal,2022-02-01,Winter
690,123.6171464138316,123.7354418171264,1.1609184183895,3.0,2022.0,High_Himal,2022-03-01,Pre-monsoon
690,126.43047360568261,126.4506096303292,0.7929750784768033,4.0,2022.0,High_Himal,2022-04-01,Pre-monsoon
690,124.2207769648934,124.2216641981915,0.8080600538157033,5.0,2022.0,High_Himal,2022-05-01,Pre-monsoon
690,123.99709691221709,123.9545075158901,0.6129573286328699,6.0,2022.0,High_Himal,2022-06-01,Monsoon
690,122.3695146683459,122.41252646935651,0.6136896620016286,7.0,2022.0,High_Himal,2022-07-01,Monsoon
690,120.16622703061459,120.14071418037051,0.4740406947857898,8.0,2022.0,High_Himal,2022-08-01,Monsoon
690,117.87135957701,117.853962928857,0.6523608236333907,9.0,2022.0,High_Himal,2022-09-01,Monsoon
690,116.0105324264037,116.0948950879946,1.0736340731571,10.0,2022.0,High_Himal,2022-10-01,Post-monsoon
690,110.8845488786068,110.73973662051189,1.2243104553250002,11.0,2022.0,High_Himal,2022-11-01,Post-monsoon
690,110.2901936110481,110.27573120559039,1.1009242960571,12.0,2022.0,High_Himal,2022-12-01,Winter
690,110.6983681545154,110.64430898780101,1.0048596975394999,1.0,2023.0,High_Himal,2023-01-01,Winter
690,114.8417837595578,115.0837196888923,1.652493685176,2.0,2023.0,High_Himal,2023-02-01,Winter
690,121.5160029093378,121.44309882392581,1.2029231092045,3.0,2023.0,High_Himal,2023-03-01,Pre-monsoon
690,127.36865228637559,127.5950584959741,1.7892760015652,4.0,2023.0,High_Himal,2023-04-01,Pre-monsoon
690,123.8519881288808,123.8609861915469,1.7470699193035,5.0,2023.0,High_Himal,2023-05-01,Pre-monsoon
690,121.6599155908734,121.664753106715,0.6259530074570209,6.0,2023.0,High_Himal,2023-06-01,Monsoon
690,119.27145361033,119.2847666468202,0.5216020816051534,7.0,2023.0,High_Himal,2023-07-01,Monsoon
690,116.8956526591374,116.8754887000604,0.45825191671562565,8.0,2023.0,High_Himal,2023-08-01,Monsoon
690,118.8530651721927,118.8754168652382,0.5361782432822164,9.0,2023.0,High_Himal,2023-09-01,Monsoon
