SO2_count,SO2_mean,SO2_median,SO2_stdDev,month,year,zone,date,season
356,107.88902868940382,84.54880374799698,332.89504739419306,1.0,2019.0,High_Himal,2019-01-01,Winter
7,-60.36778584437223,-164.1740725412504,167.20174372506122,2.0,2019.0,High_Himal,2019-02-01,Winter
12,-106.92988454215575,-212.33106793521648,369.164392846108,3.0,2019.0,High_Himal,2019-03-01,Pre-monsoon
33,-19.638957853484676,-42.21036206650737,92.58827991272004,4.0,2019.0,High_Himal,2019-04-01,Pre-monsoon
153,-25.632486066583226,-35.2994001241969,150.56853257617877,5.0,2019.0,High_Himal,2019-05-01,Pre-monsoon
642,-23.025613369150946,-20.964200184699077,73.5643447658117,6.0,2019.0,High_Himal,2019-06-01,Monsoon
690,-18.279914186210743,-18.04398223053862,37.53210661705264,7.0,2019.0,High_Himal,2019-07-01,Monsoon
690,-7.6971863905201525,-6.848154011200697,49.622515717023354,8.0,2019.0,High_Himal,2019-08-01,Monsoon
670,-14.298994552231427,-9.540724312481528,69.86076165874289,9.0,2019.0,High_Himal,2019-09-01,Monsoon
568,17.142358539056083,18.685732770358403,119.85218987302464,10.0,2019.0,High_Himal,2019-10-01,Post-monsoon
454,3.6902014677805623,-3.5724288957025516,202.19955989696365,11.0,2019.0,High_Himal,2019-11-01,Post-monsoon
271,167.26911258818956,112.340521101845,399.4016407873491,12.0,2019.0,High_Himal,2019-12-01,Winter
40,9.948797986008888,-65.07395850059726,389.1240618333293,1.0,2020.0,High_Himal,2020-01-01,Winter
3,233.2733984743313,272.9918571248943,100.05860365526652,2.0,2020.0,High_Himal,2020-02-01,Winter
3,-253.67647766325243,-200.5437008691087,145.81542744314422,3.0,2020.0,High_Himal,2020-03-01,Pre-monsoon
23,-84.53170055209932,-83.21225531879388,122.85483383044301,4.0,2020.0,High_Himal,2020-04-01,Pre-monsoon
135,-0.5639380103657433,-8.662088791470346,84.54059675152791,5.0,2020.0,High_Himal,2020-05-01,Pre-monsoon
659,-16.021658418022298,-11.932754458702224,87.36709235270241,6.0,2020.0,High_Himal,2020-06-01,Monsoon
663,-7.737006976568653,-11.455023483077866,73.49768003099466,7.0,2020.0,High_Himal,2020-07-01,Monsoon
550,1.9400757227572831,-3.983801104239189,91.20126521003365,8.0,2020.0,High_Himal,2020-08-01,Monsoon
495,-6.728280975777601,-1.517838799279029,85.31096610659665,9.0,2020.0,High_Himal,2020-09-01,Monsoon
607,40.81825801832885,34.111960984355235,112.41265537521448,10.0,2020.0,High_Himal,2020-10-01,Post-monsoon
535,92.26595103531237,88.54691568119267,179.17292627905417,11.0,2020.0,High_Himal,2020-11-01,Post-monsoon
360,159.1231416234471,128.35411161671726,287.8003767522807,12.0,2020.0,High_Himal,2020-12-01,Winter
321,101.78220480528955,102.21445516796017,194.0219779025396,1.0,2021.0,High_Himal,2021-01-01,Winter
300,99.84270702054454,73.12055930259898,260.4743257380454,2.0,2021.0,High_Himal,2021-02-01,Winter
299,-26.745659501725502,-11.948695149441416,162.34311493488107,3.0,2021.0,High_Himal,2021-03-01,Pre-monsoon
299,47.96551570092719,47.035420245572915,118.90199102058706,4.0,2021.0,High_Himal,2021-04-01,Pre-monsoon
205,-30.62018866850976,-18.179731166232067,130.98414974669595,5.0,2021.0,High_Himal,2021-05-01,Pre-monsoon
248,-4.137217379051016,2.718090030769849,119.90172055143785,6.0,2021.0,High_Himal,2021-06-01,Monsoon
494,-29.8294949609907,-19.669947349562044,165.03029602584994,7.0,2021.0,High_Himal,2021-07-01,Monsoon
404,-20.3199099478084,-12.87149944746278,132.62202191371622,8.0,2021.0,High_Himal,2021-08-01,Monsoon
463,-14.075744126050758,-19.11348354433981,112.58439959072152,9.0,2021.0,High_Himal,2021-09-01,Monsoon
547,34.65933713396544,41.660388581408746,121.29954038987992,10.0,2021.0,High_Himal,2021-10-01,Post-monsoon
248,123.28811514643519,70.04376762614092,273.47005947715706,11.0,2021.0,High_Himal,2021-11-01,Post-monsoon
85,247.91692255406178,178.11406029548812,412.44109825720994,12.0,2021.0,High_Himal,2021-12-01,Winter
1,-154.05968673514903,-154.05968673514903,0.0,1.0,2022.0,High_Himal,2022-01-01,Winter
0,,,,2.0,2022.0,High_Himal,2022-02-01,Winter
48,-13.736163735737835,-27.052530545107306,306.8816460982437,3.0,2022.0,High_Himal,2022-03-01,Pre-monsoon
366,-16.503273750416728,-13.104044278695639,169.45253776900813,4.0,2022.0,High_Himal,2022-04-01,Pre-monsoon
483,31.322142346319907,12.195181819197796,165.4492399218817,5.0,2022.0,High_Himal,2022-05-01,Pre-monsoon
591,-5.951301672922615,-18.95708279933173,120.75762783842136,6.0,2022.0,High_Himal,2022-06-01,Monsoon
591,0.6389969333054522,-3.973597008775411,123.30603141102021,7.0,2022.0,High_Himal,2022-07-01,Monsoon
572,-16.12432011793442,-17.623526244111414,84.90374378077006,8.0,2022.0,High_Himal,2022-08-01,Monsoon
529,8.346115518109425,3.7702170829663317,136.4434790743392,9.0,2022.0,High_Himal,2022-09-01,Monsoon
342,34.60885089443275,28.409127889352845,237.93935695849262,10.0,2022.0,High_Himal,2022-10-01,Post-monsoon
188,131.6753037865026,130.46172978557505,373.22350952908823,11.0,2022.0,High_Himal,2022-11-01,Post-monsoon
255,131.8096008157328,100.76958058846404,274.1073823662701,12.0,2022.0,High_Himal,2022-12-01,Winter
263,141.41806097240743,85.93748700931721,412.53899520697615,1.0,2023.0,High_Himal,2023-01-01,Winter
159,99.28798658521156,65.67697569905236,298.4096758780736,2.0,2023.0,High_Himal,2023-02-01,Winter
122,7.35051323105625,-9.602336779803572,140.8733330563116,3.0,2023.0,High_Himal,2023-03-01,Pre-monsoon
171,-12.889486119848266,-16.622546589618867,132.02046388585777,4.0,2023.0,High_Himal,2023-04-01,Pre-monsoon
248,19.01486075839125,9.708091825463727,185.5742019565623,5.0,2023.0,High_Himal,2023-05-01,Pre-monsoon
528,-2.0803303727750713,-12.476901518358284,108.77751292162179,6.0,2023.0,High_Himal,2023-06-01,Monsoon
534,-23.13146548567506,-12.127944778444183,134.20027748480553,7.0,2023.0,High_Himal,2023-07-01,Monsoon
