Pollutant,Zone,Period,Mean,PctChange_vs_Baseline
NO2,High_Himal,Pre-Lockdown (Jan 2019–Feb 2020),8.0268,0.0
NO2,High_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),9.1334,0.0
NO2,Middle_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),14.0573,0.0
NO2,Siwalik,Pre-Lockdown (Jan 2019–Feb 2020),18.6524,0.0
NO2,Terai,Pre-Lockdown (Jan 2019–Feb 2020),23.637,0.0
NO2,High_Himal,Lockdown (Mar–Jun 2020),9.1664,14.2
NO2,High_Mountains,Lockdown (Mar–Jun 2020),9.9082,8.48
NO2,Middle_Mountains,Lockdown (Mar–Jun 2020),14.0778,0.15
NO2,Siwalik,Lockdown (Mar–Jun 2020),18.2117,-2.36
NO2,Terai,Lockdown (Mar–Jun 2020),22.6691,-4.09
NO2,High_Himal,Post-Lockdown 2020 (Jul–Dec 2020),8.2897,3.27
NO2,High_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),10.1367,10.99
NO2,Middle_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),13.5323,-3.73
NO2,Siwalik,Post-Lockdown 2020 (Jul–Dec 2020),17.4051,-6.69
NO2,Terai,Post-Lockdown 2020 (Jul–Dec 2020),21.7908,-7.81
NO2,High_Himal,Rebound 2021 (Jan–Dec 2021),7.741,-3.56
NO2,High_Mountains,Rebound 2021 (Jan–Dec 2021),9.8882,8.26
NO2,Middle_Mountains,Rebound 2021 (Jan–Dec 2021),15.6007,10.98
NO2,Siwalik,Rebound 2021 (Jan–Dec 2021),21.1741,13.52
NO2,Terai,Rebound 2021 (Jan–Dec 2021),26.5275,12.23
NO2,High_Himal,Post-Rebound (2022–2026),8.3324,3.81
NO2,High_Mountains,Post-Rebound (2022–2026),10.2442,12.16
NO2,Middle_Mountains,Post-Rebound (2022–2026),15.6503,11.33
NO2,Siwalik,Post-Rebound (2022–2026),21.8105,16.93
NO2,Terai,Post-Rebound (2022–2026),27.3563,15.74
SO2,High_Himal,Pre-Lockdown (Jan 2019–Feb 2020),18.8101,0.0
SO2,High_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),60.7201,0.0
SO2,Middle_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),74.3433,0.0
SO2,Siwalik,Pre-Lockdown (Jan 2019–Feb 2020),63.5501,0.0
SO2,Terai,Pre-Lockdown (Jan 2019–Feb 2020),41.9616,0.0
SO2,High_Himal,Lockdown (Mar–Jun 2020),-88.6984,-571.55
SO2,High_Mountains,Lockdown (Mar–Jun 2020),8.9133,-85.32
SO2,Middle_Mountains,Lockdown (Mar–Jun 2020),6.9844,-90.61
SO2,Siwalik,Lockdown (Mar–Jun 2020),13.7244,-78.4
SO2,Terai,Lockdown (Mar–Jun 2020),27.0148,-35.62
SO2,High_Himal,Post-Lockdown 2020 (Jul–Dec 2020),46.6137,147.81
SO2,High_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),68.8665,13.42
SO2,Middle_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),93.8384,26.22
SO2,Siwalik,Post-Lockdown 2020 (Jul–Dec 2020),87.4679,37.64
