zone,mean,std,min,max,CV,Pollutant,Level,season
High_Himal,8.241236525299724,1.6109562523697079,4.238744884920203,11.170479000380771,19.547506583802594,NO2,Annual,
High_Mountains,10.004487525247455,1.8947886071606208,4.971555359125323,13.912711806757285,18.939386973884545,NO2,Annual,
Middle_Mountains,15.189934446929342,2.975426109046794,9.15612446921494,24.44904036606351,19.588143184174694,NO2,Annual,
Siwalik,20.7920655866029,5.130032576458977,14.359033229672576,41.58538633881582,24.673029983920635,NO2,Annual,
Terai,26.10181134805491,5.176268635255574,18.20819810862612,44.39597863735528,19.831070595954277,NO2,Annual,
High_Himal,9.467522651075713,0.8775326760351277,,,9.268873266814115,NO2,Seasonal,Monsoon
High_Himal,6.789473016982534,1.3937239170921925,,,20.527718625673387,NO2,Seasonal,Post-monsoon
High_Himal,8.625628343450053,1.2841224392601478,,,14.887291547116769,NO2,Seasonal,Pre-monsoon
High_Himal,7.12431051258464,1.368422949872889,,,19.207794880019016,NO2,Seasonal,Winter
High_Mountains,11.158220847152844,1.203711488199645,,,10.787665029114265,NO2,Seasonal,Monsoon
High_Mountains,8.922733118599421,1.4888640073016153,,,16.686187825096784,NO2,Seasonal,Post-monsoon
High_Mountains,10.649929036556687,1.6959229527545694,,,15.924265287901784,NO2,Seasonal,Pre-monsoon
High_Mountains,8.484572993268726,1.7410204873962953,,,20.519836281419725,NO2,Seasonal,Winter
Middle_Mountains,15.0757674574311,1.4340418852762689,,,9.51223139601696,NO2,Seasonal,Monsoon
Middle_Mountains,13.452806588297621,1.6478711006006836,,,12.24927370942908,NO2,Seasonal,Post-monsoon
Middle_Mountains,17.930045949935977,3.736193953639728,,,20.83761505169522,NO2,Seasonal,Pre-monsoon
Middle_Mountains,13.53698330056553,2.079212095135671,,,15.359493684599645,NO2,Seasonal,Winter
Siwalik,19.783179706879036,2.3990900545611944,,,12.126918372616204,NO2,Seasonal,Monsoon
Siwalik,18.120408684852855,1.7409471070572422,,,9.60765917223781,NO2,Seasonal,Post-monsoon
Siwalik,26.074709787546244,6.854231739943545,,,26.28689560033857,NO2,Seasonal,Pre-monsoon
Siwalik,18.221905247193167,2.4265307231604547,,,13.316558780450405,NO2,Seasonal,Winter
Terai,24.36863749964003,4.154167576964616,,,17.047188530856435,NO2,Seasonal,Monsoon
Terai,24.71143824506163,1.7292156786282682,,,6.997632681188993,NO2,Seasonal,Post-monsoon
Terai,31.087753055907672,6.347636267932713,,,20.418446635616395,NO2,Seasonal,Pre-monsoon
Terai,24.00606517004996,2.43601254502881,,,10.147487844313554,NO2,Seasonal,Winter
High_Himal,18.711397528293652,76.4859667447041,-253.67647766325243,247.91692255406176,408.76672428689017,SO2,Annual,
High_Mountains,46.739357045597096,93.03228796054569,-86.04660370394988,373.7783422781232,199.04486035138868,SO2,Annual,
Middle_Mountains,58.838497853059934,108.7147538514803,-73.32413886834118,406.4466993261449,184.7680648186815,SO2,Annual,
