pollutant,zone,season,trend,p_value,slope,intercept
NO2,High_Himal,Annual,no trend,0.6892325154292382,0.0028832205088418217,8.258809611023224
NO2,High_Himal,Winter,no trend,0.13914417482242492,0.07746874232560672,6.246030123266392
NO2,High_Himal,Pre-monsoon,no trend,0.6732623633112398,-0.02384353095579686,8.814191650064886
NO2,High_Himal,Monsoon,no trend,0.9147523390847367,0.0026373035931958177,9.373213360763835
NO2,High_Himal,Post-monsoon,no trend,0.2735614117247491,-0.1445144807985268,7.66130157281273
NO2,High_Mountains,Annual,no trend,0.07026793908298812,0.01148829064466719,9.529304170362792
NO2,High_Mountains,Winter,increasing,0.015108741031786055,0.13956052800226848,6.73834560958313
NO2,High_Mountains,Pre-monsoon,no trend,0.157405663974874,0.0746842628338762,10.023174876490993
NO2,High_Mountains,Monsoon,no trend,0.7752944295177846,0.0051339845319281815,11.084197191529142
NO2,High_Mountains,Post-monsoon,no trend,0.1546297519658153,-0.14024944369604908,9.602499385716525
NO2,Middle_Mountains,Annual,no trend,0.2603404596053993,0.01621621149401848,13.877208971433564
NO2,Middle_Mountains,Winter,increasing,0.023128868664483715,0.16050042114447272,11.13713902306047
NO2,Middle_Mountains,Pre-monsoon,no trend,0.1724913614849526,0.1685030251871699,15.660529552469747
NO2,Middle_Mountains,Monsoon,no trend,1.0,0.0006797599945141287,14.702782289896628
NO2,Middle_Mountains,Post-monsoon,no trend,0.38107448160929436,-0.10677735539285453,14.178660426942596
NO2,Siwalik,Annual,no trend,0.08715332202574588,0.03316585347896842,18.04132192370377
NO2,Siwalik,Winter,increasing,0.02011905473444564,0.19392729525413632,15.59953149596156
NO2,Siwalik,Pre-monsoon,no trend,0.18863315303694828,0.30586007302573404,22.262210766912624
NO2,Siwalik,Monsoon,no trend,0.2686642304239091,0.056710332502220566,18.71308601585719
NO2,Siwalik,Post-monsoon,no trend,0.8266659696701553,0.04142500618834033,17.827761615850104
NO2,Terai,Annual,no trend,0.06797267177806043,0.04888711830590819,22.329592416226514
NO2,Terai,Winter,increasing,0.0026056725389043134,0.2240614029904336,21.594406310227097
NO2,Terai,Pre-monsoon,no trend,0.08698814891833662,0.32637301834630894,27.972566942790184
NO2,Terai,Monsoon,no trend,0.6685166224807093,0.04145435532809453,22.686018352796122
NO2,Terai,Post-monsoon,increasing,0.0285390635703624,0.1840861414946294,23.18368436810608
SO2,High_Himal,Annual,no trend,0.4346157188360127,0.13464511254031003,-3.7861274257847115
SO2,High_Himal,Winter,no trend,0.23628916450237414,-4.552256801285718,153.1634091277028
SO2,High_Himal,Pre-monsoon,no trend,0.10689967587922089,1.7258165339490752,-33.15971506820742
SO2,High_Himal,Monsoon,increasing,0.04139316901026291,0.7492955607943568,-18.9366198024355
SO2,High_Himal,Post-monsoon,no trend,0.9128140271840748,0.41483926476890365,35.042342355149266
SO2,High_Mountains,Annual,no trend,0.09632154612211496,-0.1959429860519873,14.344287634982113
SO2,High_Mountains,Winter,decreasing,0.030337374811837403,-9.33318189330796,269.90510179471437
SO2,High_Mountains,Pre-monsoon,no trend,0.157405663974874,-0.6627236747816813,4.960395827361177
SO2,High_Mountains,Monsoon,increasing,0.011887389113116376,0.6455953640174047,-15.568115882856377
SO2,High_Mountains,Post-monsoon,no trend,0.1005181732074647,-3.1989966703623143,67.84378492822314
SO2,Middle_Mountains,Annual,no trend,0.4638089176785467,-0.10853075221049005,19.79606449071918
SO2,Middle_Mountains,Winter,decreasing,0.026522235089512458,-9.172554852874505,273.00666510297845
SO2,Middle_Mountains,Pre-monsoon,no trend,0.13026223878322818,-0.812916263263114,16.36152772237564
SO2,Middle_Mountains,Monsoon,increasing,0.0012408530273542162,1.1586199737886578,-16.77205119840111
SO2,Middle_Mountains,Post-monsoon,no trend,0.3244236905215787,-1.9661895870568185,40.05860930666566
SO2,Siwalik,Annual,no trend,0.19573141935959182,-0.10341925372116803,25.42950531027916
SO2,Siwalik,Winter,decreasing,0.015108741031786055,-7.219148145268146,208.9088835596824
SO2,Siwalik,Pre-monsoon,no trend,0.30916269487358283,-0.7331438033318539,36.48215592437216
SO2,Siwalik,Monsoon,increasing,0.0031026895944057387,1.4918690129905474,-29.800401065055592
SO2,Siwalik,Post-monsoon,no trend,1.0,0.05283150225955495,9.665961935086933
SO2,Terai,Annual,no trend,,-0.1086950626038398,32.824159694636776
SO2,Terai,Winter,no trend,0.08131787390348366,-3.6462489816482666,128.20317697019124
SO2,Terai,Pre-monsoon,no trend,0.0701839854914923,-2.097293105395307,83.01142076152976
SO2,Terai,Monsoon,increasing,0.001570485444849723,2.1197250718335328,-35.97458396024647
SO2,Terai,Post-monsoon,no trend,0.5840703669455065,0.8991818163794401,4.117272770100451
CO,High_Himal,Annual,no trend,0.0665577657389933,-0.010222375951254541,16.867755764819282
CO,High_Himal,Winter,no trend,0.39803568959424807,-0.02251004949040005,14.5494143422608
CO,High_Himal,Pre-monsoon,no trend,0.30916269487358283,-0.04043245907112318,17.143556601309214
CO,High_Himal,Monsoon,decreasing,0.008858992984779324,-0.055956228906479846,19.289726048760595
CO,High_Himal,Post-monsoon,decreasing,0.0487449207397066,-0.15845966631603364,16.34597456207802
CO,High_Mountains,Annual,decreasing,0.032029757138578585,-0.01436856577769233,21.0898193423577
CO,High_Mountains,Winter,no trend,0.39803568959424807,-0.046905455577663506,18.428840666734
CO,High_Mountains,Pre-monsoon,no trend,0.4419310120112123,-0.045908272171855245,21.361480824041283
CO,High_Mountains,Monsoon,decreasing,0.013083919895177765,-0.056681145708809506,22.858378519967545
CO,High_Mountains,Post-monsoon,decreasing,0.0487449207397066,-0.18894507490068335,19.899149659385692
CO,Middle_Mountains,Annual,decreasing,0.0007179356433031359,-0.01753695714522478,29.136687174788577
CO,Middle_Mountains,Winter,no trend,0.5973541948267043,-0.04062406709072489,26.622840763097276
CO,Middle_Mountains,Pre-monsoon,no trend,0.4719390404163102,-0.060189251290088466,32.106381939568266
CO,Middle_Mountains,Monsoon,decreasing,0.017336219440732936,-0.06699002090227033,29.963468477671356
CO,Middle_Mountains,Post-monsoon,no trend,0.07980192864239077,-0.26333940500591674,28.13490856178041
CO,Siwalik,Annual,no trend,0.09389459298297065,-0.013691427429533469,35.22178852900402
CO,Siwalik,Winter,no trend,0.9578745987779058,0.016190272760669443,34.09363049251144
CO,Siwalik,Pre-monsoon,no trend,0.5030370130775135,-0.05804240699409827,39.78843976819598
CO,Siwalik,Monsoon,no trend,0.14382566910763628,-0.054215173847624865,34.67974524449717
CO,Siwalik,Post-monsoon,no trend,0.3244236905215787,-0.3122992965070594,35.48275601538293
CO,Terai,Annual,no trend,0.6422269578972777,-0.00611499941754852,41.89754482888001
CO,Terai,Winter,no trend,0.39803568959424807,0.09620309646184527,41.4282048493475
CO,Terai,Pre-monsoon,no trend,0.7849697273207377,-0.015260324832611794,45.00911990202119
CO,Terai,Monsoon,no trend,0.6341458536966633,-0.033879537885467874,38.05224184938752
CO,Terai,Post-monsoon,no trend,0.6614159170078631,-0.14919214049813334,40.55471088295896
O3,High_Himal,Annual,increasing,0.005038061237571556,0.04812045502448099,117.42511734142101
O3,High_Himal,Winter,no trend,0.5612202073936174,0.0884181671486527,118.50586809610073
O3,High_Himal,Pre-monsoon,increasing,0.007952706286745492,0.317311398999544,121.9172381175763
O3,High_Himal,Monsoon,increasing,0.038119926564599727,0.12649751492296193,117.58614168421687
O3,High_Himal,Post-monsoon,no trend,0.3244236905215787,0.20753440260447084,113.30451268827058
O3,High_Mountains,Annual,increasing,0.0002649771439513504,0.04799335645509981,118.47693767374066
O3,High_Mountains,Winter,no trend,0.5612202073936174,0.10037751966420003,119.4587242394306
O3,High_Mountains,Pre-monsoon,increasing,0.012236670124007976,0.3367729638249793,122.90184940313215
O3,High_Mountains,Monsoon,increasing,0.04139316901026291,0.12228702249515967,118.4868436353221
O3,High_Mountains,Post-monsoon,no trend,0.3244236905215787,0.26039655867141676,113.80171560919283
O3,Middle_Mountains,Annual,increasing,0.003182171736520134,0.05231053340714578,119.65086259017296
O3,Middle_Mountains,Winter,no trend,0.4922895298178107,0.14060741945074895,119.11552203290276
O3,Middle_Mountains,Pre-monsoon,increasing,0.012236670124007976,0.33788102928713465,124.29065764217924
O3,Middle_Mountains,Monsoon,no trend,0.05696246823315332,0.113548238363767,120.1584535772559
O3,Middle_Mountains,Post-monsoon,no trend,0.22843980898867544,0.26626875459304483,115.66961099064297
O3,Siwalik,Annual,increasing,0.002159192136677257,0.052856686667735533,121.07579970759357
O3,Siwalik,Winter,no trend,0.4922895298178107,0.16258048301292372,119.44720302446494
O3,Siwalik,Pre-monsoon,increasing,0.018452126856443263,0.32271457503285195,125.97576721086149
O3,Siwalik,Monsoon,no trend,0.07160518117391312,0.12787560251026164,121.46025234578107
O3,Siwalik,Post-monsoon,no trend,0.1888874775395375,0.2788530836513499,116.93152795002102
O3,Terai,Annual,increasing,6.7882916123807036e-06,0.05977145649844967,121.73854990752973
O3,Terai,Winter,no trend,0.3417178800455669,0.2077857277223245,119.44101321761383
O3,Terai,Pre-monsoon,increasing,0.014063556708352909,0.3293587419548184,126.8989353944763
O3,Terai,Monsoon,no trend,0.08298294959133434,0.14104110288022095,122.43027216011149
O3,Terai,Post-monsoon,no trend,0.1888874775395375,0.2971672682764989,118.0242072413139
HCHO,High_Himal,Annual,no trend,0.5692206465175802,-0.05849336157080426,71.70189947959338
HCHO,High_Himal,Winter,no trend,0.5727823105937271,0.18687904471618058,64.95744259909326
HCHO,High_Himal,Pre-monsoon,no trend,0.8621556082271453,0.07131009575044953,58.78635454159214
HCHO,High_Himal,Monsoon,no trend,0.1101179540129047,-0.4668622501058728,83.96184500555772
HCHO,High_Himal,Post-monsoon,no trend,0.3244236905215787,-0.4040804498899914,72.41233067788528
HCHO,High_Mountains,Annual,no trend,0.715071725286115,0.039924675086729075,72.64521145654619
HCHO,High_Mountains,Winter,no trend,0.20490442371975082,1.1427261578935242,62.92310152614937
HCHO,High_Mountains,Pre-monsoon,no trend,0.30916269487358283,0.8047926304411015,59.769531910595674
HCHO,High_Mountains,Monsoon,no trend,0.1533785068859166,-0.4483666564043749,89.85957799726143
HCHO,High_Mountains,Post-monsoon,no trend,0.9128140271840748,0.19567912402738868,69.86881120302051
HCHO,Middle_Mountains,Annual,no trend,0.12368706755065739,0.18542657189242853,86.69834617979822
HCHO,Middle_Mountains,Winter,no trend,0.07250866728742089,1.0963144475945892,92.35826975148207
HCHO,Middle_Mountains,Pre-monsoon,no trend,0.11812849523841984,1.4787548994415853,90.14567791095311
HCHO,Middle_Mountains,Monsoon,no trend,0.7856661000859302,-0.057081459468122375,92.98354126771255
HCHO,Middle_Mountains,Post-monsoon,no trend,0.8266659696701553,0.3513224358201323,92.01161485657903
HCHO,Siwalik,Annual,increasing,0.048348733299766966,0.1680882757949565,125.55538554426217
HCHO,Siwalik,Winter,no trend,0.050657030094118705,0.9071571212045818,127.63670929204459
HCHO,Siwalik,Pre-monsoon,no trend,0.22420756495904914,1.6373580931703038,154.48536726334638
HCHO,Siwalik,Monsoon,no trend,0.7856661000859302,-0.164387798161016,122.20979679236828
HCHO,Siwalik,Post-monsoon,no trend,0.1546297519658153,0.8869141925638075,120.1227082462678
HCHO,Terai,Annual,no trend,0.19569415083161745,0.26496421487181265,173.48671596798516
HCHO,Terai,Winter,no trend,0.15382082239203032,1.0309963729056704,167.13090003153596
HCHO,Terai,Pre-monsoon,no trend,0.20586252630799207,1.4092963019138418,210.0632248857585
HCHO,Terai,Monsoon,no trend,0.6101267703127584,0.2393737096094508,159.37887811715723
HCHO,Terai,Post-monsoon,no trend,0.07980192864239077,2.410019347906934,167.55075670858156
UVAI,High_Himal,Annual,increasing,0.002819210074635592,0.006024396212823529,-0.6625546017572786
UVAI,High_Himal,Winter,increasing,0.00032837403028729284,0.03506017685519072,-0.6297267107817703
UVAI,High_Himal,Pre-monsoon,increasing,0.039516712961947364,0.01068406453337355,-0.2105691448357414
UVAI,High_Himal,Monsoon,increasing,0.038119926564599727,0.011099815499974427,-0.7627334189835939
UVAI,High_Himal,Post-monsoon,increasing,0.011793457077065028,0.050487454060674,-0.6308069212580923
UVAI,High_Mountains,Annual,increasing,1.885883116692355e-05,0.007423015477760059,-0.951301326662475
UVAI,High_Mountains,Winter,increasing,0.0002677632428869092,0.04413313136534488,-1.0875760369784482
UVAI,High_Mountains,Pre-monsoon,increasing,0.003160052923044443,0.02125138761563391,-0.7376771915081719
UVAI,High_Mountains,Monsoon,increasing,0.008858992984779324,0.01255984878126315,-0.9071948343466968
UVAI,High_Mountains,Post-monsoon,increasing,0.00859504637602404,0.060574564670568744,-1.0449338607753256
UVAI,Middle_Mountains,Annual,increasing,0.0004583517774103818,0.010899488741903562,-1.2574043889379802
UVAI,Middle_Mountains,Winter,increasing,0.0021868164277665247,0.05885824877833103,-1.0619196215794293
UVAI,Middle_Mountains,Pre-monsoon,increasing,0.0002191471228452091,0.041789968946613035,-1.1195659632369497
UVAI,Middle_Mountains,Monsoon,increasing,0.00035800799918561665,0.01648996352766307,-1.095380173482369
UVAI,Middle_Mountains,Post-monsoon,increasing,0.0285390635703624,0.08055116790987632,-1.2182254144193303
UVAI,Siwalik,Annual,increasing,0.0028725378551663905,0.011636104167999423,-1.285274952218355
UVAI,Siwalik,Winter,increasing,0.0021868164277665247,0.04955673256629856,-0.8775633789794477
UVAI,Siwalik,Pre-monsoon,increasing,0.003160052923044443,0.048250156512109496,-0.9730214161253135
UVAI,Siwalik,Monsoon,increasing,0.0019791198223833018,0.019161795611456093,-1.2734078086594156
UVAI,Siwalik,Post-monsoon,no trend,0.06269811626098254,0.08029907573959456,-1.1306694496082406
UVAI,Terai,Annual,increasing,0.0012657403253364397,0.012464900470023686,-1.154937913275821
UVAI,Terai,Winter,increasing,0.0008756060724179893,0.0524193892698114,-0.7186366906481442
UVAI,Terai,Pre-monsoon,increasing,0.01612706871178249,0.04895663331474563,-0.6383349604756114
UVAI,Terai,Monsoon,increasing,0.003859889400894323,0.023911341913098072,-1.2497706933527044
UVAI,Terai,Post-monsoon,increasing,0.0487449207397066,0.0926988551701875,-1.0292627269304164
